Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary,salary_min,salary_max,salary_avg,salary_type,salary_standardized,state,standardized_title,education_level,experience_level,job_level
"Sr. Data Scientist, People Analytics",Adobe,"San Jose, CA","R, SQL, Analysis skills, Machine learning, Regression analysis",,9+ years,Senior level,$146K - $276K (Employer est.),146000.0,276000.0,211000.0,yearly,211000.0,CA,Data Scientist,,3,3
Data Scientist: Opportunities - PhD - Redmond,Microsoft,"Redmond, WA","Statistics, C#, Research, Analysis skills, Perl","master, doctor, degree, bachelor, phd, doctorate","3+ years, 5+ years",,$98K - $209K (Employer est.),98000.0,209000.0,153500.0,yearly,153500.0,WA,Data Scientist,4,2,
Data Scientist,SDG Group,"Chicago, IL","Machine learning, Data science, AI","master, doctor, degree, bachelor, phd, doctorate","3+ years, 5+ years",,$93K - $124K (Glassdoor est.),93000.0,124000.0,108500.0,yearly,108500.0,IL,Data Scientist,4,2,
"Data Scientist - Tiktok Ads, Ads Measurement",TikTok,"Seattle, WA","R, Apache Hive, SQL, Analysis skills, Scripting",degree,3+ years,,$145K - $281K (Employer est.),145000.0,281000.0,213000.0,yearly,213000.0,WA,Data Scientist,,2,
Data Scientist,Integral Ad Science,"New York, NY","R, SQL, Supervising experience, Deep learning, Scripting","phd, master, education",3-5 years,,$89K - $152K (Employer est.),89000.0,152000.0,120500.0,yearly,120500.0,NY,Data Scientist,4,2,
Data Scientist,Inmar,Remote,"TensorFlow, Computer science, Kubernetes, Data structures, Spark","master, education, degree, phd, associate","2 years, 5+ years",,,,,,unknown,,Remote,Data Scientist,4,2,
Junior Data Scientist,Grit Government Solutions,"Springfield, VA","Elasticsearch, Data mining, Spark, R, Apache Hive","master, education, degree, phd, associate","2 years, 5+ years",Junior level,$90K - $108K (Employer est.),90000.0,108000.0,99000.0,yearly,99000.0,VA,Data Scientist,4,2,1
Data Scientist,Millicom,"Mora, LA","SQL, Python",,,,$61K - $114K (Glassdoor est.),61000.0,114000.0,87500.0,yearly,87500.0,LA,Data Scientist,,,
Data Scientist,The Swift Group,"Reston, VA","TensorFlow, Power BI, R, Tableau, SQL","education, degree",8+ years,,,,,,unknown,,VA,Data Scientist,,3,
Data Scientist,Steampunk,"McLean, VA","ArcGIS, TensorFlow, Elasticsearch, Power BI, Data modeling","education, degree, bachelor","3+ years, 5+ years",,$125K - $160K (Employer est.),125000.0,160000.0,142500.0,yearly,142500.0,VA,Data Scientist,2,2,
Data Scientist,Iron EagleX,"Hurlburt Fld, FL","Management, R, Java, C++, Data science","master, certification, education, degree, bachelor",,,$83K - $125K (Glassdoor est.),83000.0,125000.0,104000.0,yearly,104000.0,FL,Data Scientist,3,,
ML/AI Engineers,Adidev Technologies Inc,"Austin, TX","TensorFlow, CI/CD, Data modeling, Microsoft Excel, Kubernetes",degree,good years,,$121K - $188K (Glassdoor est.),121000.0,188000.0,154500.0,yearly,154500.0,TX,Other Engineering,,,
Data Scientist,University of California San Francisco,"San Francisco, CA","Rust, Go, Biostatistics, Data structures, R",degree,good years,,$103K - $163K (Glassdoor est.),103000.0,163000.0,133000.0,yearly,133000.0,CA,Data Scientist,,,
Data Scientist,ASSA ABLOY,"Eden Prairie, MN","TensorFlow, Encryption, Patent law, Google Cloud Platform, AWS","graduate, certification, education, associate, m.s.",2+ years,,$103K - $119K (Employer est.),103000.0,119000.0,111000.0,yearly,111000.0,MN,Data Scientist,3,1,
Data Scientist,WALGREENS,"Deerfield, IL","Statistics, Data mining, Survey design, Spark, R","graduate, degree, bachelor",2 years,,$99K - $158K (Employer est.),99000.0,158000.0,128500.0,yearly,128500.0,IL,Data Scientist,2,1,
"Assistant Vice President, Marketing Analytics & Data Science",Navy Federal Credit Union,"Vienna, VA","Data mining, Word processing, Business development, Analysis skills, Supervising experience","master, education, degree, bachelor",,,$125K - $179K (Glassdoor est.),125000.0,179000.0,152000.0,yearly,152000.0,VA,Data Scientist,3,,
Data Scientist / ML Architect @Deep Learning Analytics,"General Dynamics Mission Systems, Inc","Scottsdale, AZ","TensorFlow, Kubernetes, DevOps, Git, Docker","certification, master, degree, bachelor",2+ years,,$112K - $124K (Employer est.),112000.0,124000.0,118000.0,yearly,118000.0,AZ,Data Scientist,3,1,
Marketing Analytics - Data Scientist II - Hybrid,Unum,"Columbia, SC","Statistics, Data mining, DB2, Customer service, DevOps","master, education, bachelor",4+ years,,$73K - $151K (Employer est.),73000.0,151000.0,112000.0,yearly,112000.0,SC,Data Scientist,3,2,
Data Scientist,redShift Recruiting LLC,"Albany, NY","Azure, SAS, R, Enterprise architecture, Statistical analysis","education, master, degree","3+ years, 4-8 years, 4 years, 100 years",,$100K - $130K (Employer est.),100000.0,130000.0,115000.0,yearly,115000.0,NY,Data Scientist,3,4,
NLP Data Scientist,Brilliant Staffing LLC,"Chicago, IL","SQL, Project management, Sentiment analytics, Machine learning, Natural language processing","education, master, degree","3+ years, 4-8 years, 4 years, 100 years",,$170K - $185K (Employer est.),170000.0,185000.0,177500.0,yearly,177500.0,IL,Data Scientist,3,4,
"Director of Data Science, Emerging Technology & Innovation",The Hartford,"Hartford, CT","CI/CD, Computer science, Oracle, Management, Google Cloud Platform","phd, education, master, degree","3+ years, 7+ years, 3 years",,$153K - $230K (Employer est.),153000.0,230000.0,191500.0,yearly,191500.0,CT,Data Scientist,4,3,
Senior AI Engineer,Capital One,"New York, NY","Azure, Go, C#, Google Cloud Platform, Java","master, education, degree, bachelor, associate","3 years, 4 years, for years",Senior level,,,,,unknown,,NY,Other Engineering,3,2,3
"AVP, Data & AI Platform Architecture",The Hartford,"Hartford, CT","CI/CD, Go, DevOps, AWS, Distributed systems",certification,"10+ years, 5+ years",,$180K - $270K (Employer est.),180000.0,270000.0,225000.0,yearly,225000.0,CT,Software/Systems Architect,,4,
"Data Scientist, Active Clearance",Motion Recruitment,"Washington, DC","SQL, Machine learning, Python, MySQL",master,4 years,,$115K - $150K (Employer est.),115000.0,150000.0,132500.0,yearly,132500.0,DC,Data Scientist,3,2,
SENIOR DATA SCIENTIST (REMOTE OPPORTUNITY),"Hyatt Corporate Office, Chicago","Chicago, IL","TensorFlow, CI/CD, Operations research, Computer science, DevOps","phd, master, degree","ten years, (2+ years, 5+ years",Senior level,$129K - $180K (Employer est.),129000.0,180000.0,154500.0,yearly,154500.0,IL,Data Scientist,4,2,3
Sr Data Scientist,NRG,"Lehi, UT","Computer vision, Tableau, Statistical analysis, Machine learning, Forecasting","graduate, associate, education, degree",5+ years,,$118K - $154K (Glassdoor est.),118000.0,154000.0,136000.0,yearly,136000.0,UT,Data Scientist,1,2,
Principal Data Scientist,"T-Mobile USA, Inc.","Bellevue, WA","Management, Relational databases, Calculus, Big data, Writing skills","master, education, degree, bachelor","4-7 years, 7-10 years, 2-4 years, 18 years",senior level,$127K - $230K (Employer est.),127000.0,230000.0,178500.0,yearly,178500.0,WA,Data Scientist,3,4,3
Data Scientist,BNY Mellon,"Pittsburgh, PA","Computer science, Power BI, Big data, Spark, R","master, education, degree, bachelor","4-7 years, 7-10 years, 2-4 years, 18 years",senior level,,,,,unknown,,PA,Data Scientist,3,4,3
Data Scientist - Tech Impact Fellowship Data Innovation Lab (Wave 3),Tech Impact,"Newark, DE","Azure, R, Laboratory experience, Git, SQL",,,,$70K (Employer est.),70000.0,70000.0,70000.0,yearly,70000.0,DE,Data Scientist,,,
"Data Scientist, Retail",Vistra Retail Operations Company,"Irving, TX","Statistics, SQL, Math, Machine learning, AI","master, education, degree",1-3 years,,,,,,unknown,,TX,Data Scientist,3,2,
Data Scientist,FanDuel,"Jersey City, NJ","Statistics, R, SQL, OOP, Analysis skills","degree, bachelor",,,$102K - $141K (Employer est.),102000.0,141000.0,121500.0,yearly,121500.0,NJ,Data Scientist,2,,
Data Scientist,Chenega Corporation,Virginia,"Power BI, Microsoft Excel, Visual Basic, SAS, R",,,,$85K (Employer est.),85000.0,85000.0,85000.0,yearly,85000.0,VA,Data Scientist,,,
Data Scientist,Cnpc Usa Corporation,"Houston, TX","Computer science, Power BI, Relational databases, Big data, Writing skills","master, ph.d, bachelor",6 years,,$103K - $171K (Glassdoor est.),103000.0,171000.0,137000.0,yearly,137000.0,TX,Data Scientist,4,3,
Data Scientist,Komatsu,"Tucson, AZ","Statistics, Azure, Internet of things, Kubernetes, Big data",,,,$91K - $137K (Glassdoor est.),91000.0,137000.0,114000.0,yearly,114000.0,AZ,Data Scientist,,,
Data Scientist III,University of Southern Mississippi,"Gulfport, MS","ArcGIS, TensorFlow, MATLAB, Writing skills, R","graduate, master, certification, education, degree, ph.d, associate","five years, two years",,$84K - $123K (Glassdoor est.),84000.0,123000.0,103500.0,yearly,103500.0,MS,Data Scientist,4,,
"Data Scientist, Creator Ecosystems",Character.AI,United States,"Live chat, Microsoft Excel, Social media management, AI, Leadership",,"two years, 5+ years",,$150K - $250K (Employer est.),150000.0,250000.0,200000.0,yearly,200000.0,United States,Data Scientist,,2,
"Data Scientist, Retail Strategy","Build-A-Bear Workshop, Inc.","Saint Louis, MO","Statistics, Data analysis skills, Research, Machine learning, Data science","phd, master, degree",5 years,,$97K - $155K (Glassdoor est.),97000.0,155000.0,126000.0,yearly,126000.0,MO,Data Scientist,4,2,
Data Scientist,Loyola University Chicago,"Maywood, IL","TensorFlow, Power BI, Data structures, R, Laboratory experience","graduate, certificate, master, undergraduate, education, degree, bachelor",,,$36.06 Per Hour (Employer est.),36.06,36.06,36.06,hourly,75004.8,IL,Data Scientist,3,,
Data Scientist,Hilco Global,"Northbrook, IL","TensorFlow, Power BI, Financial modeling, D3.js, Big data","degree, certification",,,$125K - $150K (Employer est.),125000.0,150000.0,137500.0,yearly,137500.0,IL,Data Scientist,,,
Sr. Data Scientist I,Partnership HealthPlan of California,"Fairfield, CA","Computer science, Power BI, Big data, Spark, R","master, certification, education, degree, phd",(4) years,Senior level,$136K - $177K (Employer est.),136000.0,177000.0,156500.0,yearly,156500.0,CA,Data Scientist,4,2,3
Data Scientist - Infrastructure Platform,ByteDance,"San Jose, CA","Power BI, Big data, Spark, R, Data analysis skills",degree,2 years,,$144K - $244K (Employer est.),144000.0,244000.0,194000.0,yearly,194000.0,CA,Data Scientist,,1,
Data Scientist,Raytheon,"Sterling, VA","Power BI, Vulnerability research, Azure, R, Tableau","master, degree","3+ years, 5+ years",,$91K - $129K (Glassdoor est.),91000.0,129000.0,110000.0,yearly,110000.0,VA,Data Scientist,3,2,
Statistician / Data Scientist,Valve Software,"Bellevue, WA","Statistics, Data modeling, SQL, PHP, C++","graduate, degree",,,$105K - $145K (Glassdoor est.),105000.0,145000.0,125000.0,yearly,125000.0,WA,Data Scientist,,,
"Principal Associate, Ontology and Data Modeling- Retail Bank",Capital One,"McLean, VA","Ontology, Data modeling, XML, Writing skills, OWL","master, education, degree, bachelor, associate",3 years,,,,,,unknown,,VA,Other,3,2,
Senior Machine Learning Engineer-AI (FULLY REMOTE),Splunk,Remote,"CI/CD, Azure, Kubernetes, Software deployment, DevOps","master, degree, bachelor",3+ years,Senior level,$140K - $192K (Employer est.),140000.0,192000.0,166000.0,yearly,166000.0,Remote,Data Scientist,3,2,3
Senior C# Developer,Precision Systems,Remote,"Crystal Reports, Visual Basic, DevOps, C#, Microsoft SQL Server",,,Senior level,,,,,unknown,,Remote,Other Engineering,,,3
Software Development Manager,Uline,"Pleasant Prairie, WI","Java, Application development, Scrum, Software development, Agile",,,,$121K - $185K (Employer est.),121000.0,185000.0,153000.0,yearly,153000.0,WI,Other,,,
Entry Level Software Developer,Property Matrix,"Culver City, CA","CSS, Software troubleshooting, React, Web development, Selenium","degree, bachelor",,entry level,$50K - $80K (Employer est.),50000.0,80000.0,65000.0,yearly,65000.0,CA,Software Developer,2,,1
Software Developer - AI Trainer,DataAnnotation,"Troy, NY","Writing skills, C#, English, SQL, C++","degree, bachelor",,entry level,$40.00 Per Hour (Employer est.),40.0,40.0,40.0,hourly,83200.0,NY,Software Developer,2,,1
Distinguished Engr-Software Development,Verizon,"Miami, FL","Computer science, Elasticsearch, Node.js, JUnit, Cassandra","degree, bachelor",,entry level,$141K - $263K (Employer est.),141000.0,263000.0,202000.0,yearly,202000.0,FL,Other,2,,1
Software Engineers,CCC Information Services Inc.,"Chicago, IL","CI/CD, Oracle, CSS, Git, J2EE","degree, bachelor",2 years,,$87K - $91K (Employer est.),87000.0,91000.0,89000.0,yearly,89000.0,IL,Software Engineer,2,1,
Full Stack Developer 1,OPERS,"Columbus, OH","Java, SQL, Analysis skills, JavaScript, REST","associate, degree, education, bachelor",4 years,,$70K (Employer est.),70000.0,70000.0,70000.0,yearly,70000.0,OH,Full Stack Developer,2,2,
Jr. Software Developer,WinShape Foundation,"Rome, GA","Azure, CSS, React, C#, Git","degree, bachelor",,Junior level,$66K - $104K (Glassdoor est.),66000.0,104000.0,85000.0,yearly,85000.0,GA,Software Developer,2,,1
Software Engineer III - Secret/Top Secret Clearance,Chickasaw Nation Industries,"Fort Meade, MD","Computer science, Software troubleshooting, SAS, R","certification, degree, education, bachelor",(5) years,,,,,,unknown,,MD,Software Engineer,2,2,
Software Developer,Oak Ridge Schools,"Oak Ridge, TN","Computer science, Power BI, Data modeling, Management, CSS","degree, associate",,,$78K - $104K (Glassdoor est.),78000.0,104000.0,91000.0,yearly,91000.0,TN,Software Developer,1,,
Full-Stack Software Developer,Maps Credit Union,"Salem, OR","Azure, Web development, DevOps, C#, iOS","degree, education",five years,,$120K - $150K (Employer est.),120000.0,150000.0,135000.0,yearly,135000.0,OR,Software Developer,,,
Software Developer,Taskmaster Technologies INC,California,"Go, Sales, Data structures, Microsoft SQL Server, SQL",,"(4+ years, (6+ years",,,,,,unknown,,CA,Software Developer,,3,
.Net Developer (Active Federal Government Security Clearance Required),"NexGen Technologies, Inc",Remote,"ASP.NET, Computer science, SAFe, Azure, MVC",,"(4+ years, (6+ years",,$85K - $125K (Employer est.),85000.0,125000.0,105000.0,yearly,105000.0,Remote,Other Engineering,,3,
Senior Software Engineer,Rocket Software,Remote,"Computer science, TestNG, CSS, Data structures, Git","degree, education, bachelor, certificate",5 years,Senior level,$104K - $130K (Employer est.),104000.0,130000.0,117000.0,yearly,117000.0,Remote,Software Engineer,2,2,3
Software Developer - C#,Siemens,"Grand Prairie, TX","ASP.NET, System administration, Microsoft Excel, Microsoft Access, Node.js","master, degree, bachelor",1+ years,,$67K - $116K (Employer est.),67000.0,116000.0,91500.0,yearly,91500.0,TX,Software Developer,3,1,
Software Engineers,SNH Capital Partners,"Austin, TX","Node.js, PostgreSQL, REST, AI","master, degree, bachelor",1+ years,,$84K - $135K (Glassdoor est.),84000.0,135000.0,109500.0,yearly,109500.0,TX,Software Engineer,3,1,
Software Developer,Oracle,United States,"Computer science, Cloud infrastructure, Oracle, Data structures, Java",associate,1-2+ years,,,,,,unknown,,United States,Software Developer,1,1,
Front-End Developer,Jacobi Robotics,Remote,"Web design, React, Web development, English, Redux",,,,$20.00 - $40.00 Per Hour (Employer est.),20.0,40.0,30.0,hourly,62400.0,Remote,Other Engineering,,,
Senior Firmware Engineer,True Manufacturing,"O Fallon, MO","LabView, Schematics, Internet of things, Firmware, PCB","degree, bachelor",more years,Senior level,$125K - $140K (Employer est.),125000.0,140000.0,132500.0,yearly,132500.0,MO,Other Engineering,2,,3
Software Developer,Oracle,"Austin, TX","Oracle, Software troubleshooting, System design, Git, Java","degree, bachelor",more years,,$94K - $146K (Glassdoor est.),94000.0,146000.0,120000.0,yearly,120000.0,TX,Software Developer,2,,
Embedded Software Applications Developer,The Raymond Corporation,"Greene, NY","System architecture, OOP, C++, UML, APIs","bachelor, degree, education, associate",100 years,,$75K - $103K (Employer est.),75000.0,103000.0,89000.0,yearly,89000.0,NY,Other Engineering,2,4,
